15/01/2026 14:19:09 | Temperatura: 67°C
15/01/2026 14:19:10 | Temperatura: 73°C
15/01/2026 14:19:11 | Temperatura: 70°C
15/01/2026 14:19:12 | Temperatura: 78°C
15/01/2026 14:19:13 | Temperatura: 69°C
15/01/2026 14:19:14 | Temperatura: 62°C
15/01/2026 14:19:15 | Temperatura: 73°C
15/01/2026 14:19:16 | Temperatura: 65°C
15/01/2026 14:19:17 | Temperatura: 66°C
15/01/2026 14:19:18 | Temperatura: 64°C
15/01/2026 14:19:19 | Temperatura: 67°C
15/01/2026 14:19:20 | Temperatura: 65°C
15/01/2026 14:19:21 | Temperatura: 81°C
15/01/2026 14:19:22 | Temperatura: 77°C
15/01/2026 14:19:23 | Temperatura: 67°C
15/01/2026 14:19:24 | Temperatura: 78°C
15/01/2026 14:19:25 | Temperatura: 71°C
15/01/2026 14:19:26 | Temperatura: 72°C
15/01/2026 14:19:27 | Temperatura: 65°C
15/01/2026 14:19:28 | Temperatura: 82°C
15/01/2026 14:19:29 | Temperatura: 75°C
15/01/2026 14:19:30 | Temperatura: 74°C
15/01/2026 14:19:32 | Temperatura: 61°C
15/01/2026 14:19:32 | Temperatura: 69°C
15/01/2026 14:19:33 | Temperatura: 75°C
15/01/2026 14:19:34 | Temperatura: 75°C
15/01/2026 14:19:35 | Temperatura: 64°C
15/01/2026 14:19:36 | Temperatura: 76°C
15/01/2026 14:19:37 | Temperatura: 70°C
15/01/2026 14:19:38 | Temperatura: 80°C
15/01/2026 14:19:39 | Temperatura: 69°C
15/01/2026 14:19:40 | Temperatura: 71°C
15/01/2026 14:19:41 | Temperatura: 66°C
15/01/2026 14:19:42 | Temperatura: 71°C
15/01/2026 14:19:43 | Temperatura: 57°C
